"0","1","2","3","4","5","6","7","8"
"Universitas Lampung","Ilmu Pertanian","S3","","2504/SK/BAN-PT/Akred/D/VII/2019","2019","B","2024-07-17","Masih berlaku"
"IAIN Bengkulu","Tadris Matematika","S1","","2513/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-17","Masih berlaku"
"Universitas Islam Negeri Alauddin","Ilmu Hadis","S1","","2497/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-17","Masih berlaku"
"Universitas Prima Indonesia","Psikologi","S1","01","2501/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-17","Masih berlaku"
"Politeknik Negeri Samarinda","Teknologi Kimia Industri","D-IV","","2502/SK/BAN-PT/Akred/ST/VII/2019","2019","B","2024-07-17","Masih berlaku"
"Politeknik Jambi","Teknik Listrik","D-III","10","2516/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","C","2024-07-17","Masih berlaku"
"Universitas Islam Negeri Sulthan Syarif Kasim","Pendidikan Bahasa Inggris","S1","","2499/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-17","Masih berlaku"
"Institut Kesenian Jakarta - LPKJ","Seni Teater","S1","03","2505/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-17","Masih berlaku"
"Universitas Ottow Geissler","Manajemen","S2","14","2514/SK/BAN-PT/Akred/M/VII/2019","2019","C","2024-07-17","Masih berlaku"
"Politeknik Negeri Sriwijaya","Akuntansi Sektor Publik","D-IV","","2498/SK/BAN-PT/Akred/ST/VII/2019","2019","A","2024-07-17","Masih berlaku"
"Akademi Informatika Dan Komputer Medicom","Komputerisasi Akuntansi","D-III","01","2507/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","B","2024-07-17","Masih berlaku"
"Universitas Mitra Indonesia","Sistem Informasi","S1","02","2503/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-17","Masih berlaku"
"Sekolah Tinggi Teologi Berita Hidup","Pendidikan Agama Kristen","S2","","2512/SK/BAN-PT/Akred/M/VII/2019","2019","C","2024-07-17","Masih berlaku"
"Institut Teknologi Sains Bandung","Teknologi Pengolahan Sawit","D-III","04","2508/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","B","2024-07-17","Masih berlaku"
"STAI Assalamiyah Curugsari Jawilan Serang","Pendidikan Agama Islam","S1","","2511/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-17","Masih berlaku"
"Politeknik Negeri Semarang","Teknik Telekomunikasi","D-IV","","2500/SK/BAN-PT/Akred/ST/VII/2019","2019","B","2024-07-17","Masih berlaku"
"Institut Pertanian Bogor","Ilmu Akuakultur","S3","","3662/SK/BAN-PT/Akred/D/X/2019","2019","A","2024-10-09","Masih berlaku"
"Universitas Pendidikan Ganesha","Pendidikan Olahraga","S2","","2415/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Universitas Negeri Malang","Teknik Mesin","S2","","2416/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Universitas Timor","Matematika","S1","","2474/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-16","Masih berlaku"
